"Fecha","Codigo","Concepto","Tipo","Documento","Oficina","Monto","Saldo"
31/01/2025,"001055","11192264-COSTO IVA CASH-PT-099323326900","D","0002464420","AG. NORTE","0.05","66,292.86"
31/01/2025,"001055","11192264-COSTO OPER CASH-PT-099323326900","D","0002464357","AG. NORTE","0.36","66,292.91"
31/01/2025,"001055","11191784-COSTO IVA CASH-PT-099323326900","D","0002465555","AG. NORTE","0.05","66,293.27"
31/01/2025,"001055","11191784-COSTO OPER CASH-PT-099323326900","D","0002464141","AG. NORTE","0.36","66,293.32"
31/01/2025,"001055","11191711-COSTO IVA CASH-PT-099323326900","D","0002463303","AG. NORTE","0.05","66,293.68"
31/01/2025,"001055","11191711-COSTO OPER CASH-PT-099323326900","D","0002463251","AG. NORTE","0.36","66,293.73"
31/01/2025,"001055","11191673-COSTO IVA CASH-PT-099323326900","D","0002463716","AG. NORTE","0.05","66,294.09"
31/01/2025,"001055","11191673-COSTO OPER CASH-PT-099323326900","D","0002463668","AG. NORTE","0.36","66,294.14"
31/01/2025,"001055","11191632-COSTO IVA CASH-PT-099323326900","D","0002462853","AG. NORTE","0.05","66,294.50"
31/01/2025,"001055","11191632-COSTO OPER CASH-PT-099323326900","D","0002461467","AG. NORTE","0.36","66,294.55"
31/01/2025,"001055","11191582-COSTO IVA CASH-PT-099323326900","D","0002461348","AG. NORTE","0.05","66,294.91"
31/01/2025,"001055","11191582-COSTO OPER CASH-PT-099323326900","D","0002462637","AG. NORTE","0.36","66,294.96"
31/01/2025,"001055","11225803-SINOBALSA SA-PT-779 GARCIA RODO","D","0001140747","AG. NORTE","2,498.34","66,295.32"
31/01/2025,"001055","11225810-SINOBALSA SA-PT-780 ORTIZ CESAR","D","0001140527","AG. NORTE","2,165.67","68,793.66"
31/01/2025,"001055","11225784-SINOBALSA SA-PT-KIM DEV ANT 777","D","0001139956","AG. NORTE","1,000.00","70,959.33"
31/01/2025,"001055","11225760-SINOBALSA SA-PT-776 VASCONEZ GL","D","0001140353","AG. NORTE","1,890.09","71,959.33"
31/01/2025,"001055","11225824-SINOBALSA SA-PT-781 VERA PABLO","D","0001138528","AG. NORTE","2,036.17","73,849.42"
31/01/2025,"001055","11225773-SINOBALSA SA-PT-777 MOYAN FERNA","D","0001138314","AG. NORTE","1,890.09","75,885.59"
31/01/2025,"001055","11225791-SINOBALSA SA-PT-778 VERA PABLO","D","0001137221","AG. NORTE","2,125.74","77,775.68"
31/01/2025,"001055","11193067-SINOBALSA SA-PT-KIM DEV LUIS Y","D","0001096283","AG. NORTE","600.00","79,901.42"
30/01/2025,"001055","11192264-SINOBALSA SA-PT-AEROB F15 SALDO","D","0014020150","AG. NORTE","1,320.00","80,501.42"
30/01/2025,"001055","11191632-SINOBALSA SA-PT-LOG F1424 TRANS","D","0014010238","AG. NORTE","1,019.70","81,821.42"
30/01/2025,"001055","11191711-SINOBALSA SA-PT-774 MEDINAJOSE","D","0014010746","AG. NORTE","2,625.16","82,841.12"
30/01/2025,"001055","11191673-SINOBALSA SA-PT-773 ESTRADA KAT","D","0014007628","AG. NORTE","2,131.74","85,466.28"
30/01/2025,"001055","11191784-SINOBALSA SA-PT-775 MEDINAJOSE","D","0014007375","AG. NORTE","3,206.20","87,598.02"
30/01/2025,"001055","11191582-SINOBALSA SA-PT-TURNO 3X40 ZIMU","D","0014010227","AG. NORTE","145.88","90,804.22"
29/01/2025,"001055","11138824-COSTO IVA CASH-PT-099323326900","D","0002267083","AG. NORTE","0.05","90,950.10"
29/01/2025,"001055","11138824-COSTO OPER CASH-PT-099323326900","D","0002265813","AG. NORTE","0.36","90,950.15"
29/01/2025,"001055","11128079-COSTO IVA CASH-PT-099323326900","D","0002266926","AG. NORTE","0.05","90,950.51"
29/01/2025,"001055","11128079-COSTO OPER CASH-PT-099323326900","D","0002265657","AG. NORTE","0.36","90,950.56"
29/01/2025,"001055","11127953-COSTO IVA CASH-PT-099323326900","D","0002265307","AG. NORTE","0.05","90,950.92"
29/01/2025,"001055","11127953-COSTO OPER CASH-PT-099323326900","D","0002265281","AG. NORTE","0.36","90,950.97"
29/01/2025,"001055","11126296-COSTO IVA CASH-PT-099323326900","D","0002265196","AG. NORTE","0.05","90,951.33"
29/01/2025,"001055","11126296-COSTO OPER CASH-PT-099323326900","D","0002264037","AG. NORTE","0.36","90,951.38"
29/01/2025,"001055","11126144-COSTO IVA CASH-PT-099323326900","D","0002263927","AG. NORTE","0.05","90,951.74"
29/01/2025,"001055","11126144-COSTO OPER CASH-PT-099323326900","D","0002263903","AG. NORTE","0.36","90,951.79"
29/01/2025,"001055","11126023-COSTO IVA CASH-PT-099323326900","D","0002264905","AG. NORTE","0.05","90,952.15"
29/01/2025,"001055","11126023-COSTO OPER CASH-PT-099323326900","D","0002263710","AG. NORTE","0.36","90,952.20"
29/01/2025,"001055","11125988-COSTO IVA CASH-PT-099323326900","D","0002264753","AG. NORTE","0.05","90,952.56"
29/01/2025,"001055","11125988-COSTO OPER CASH-PT-099323326900","D","0002264721","AG. NORTE","0.36","90,952.61"
29/01/2025,"001055","11125947-COSTO IVA CASH-PT-099323326900","D","0002263426","AG. NORTE","0.05","90,952.97"
29/01/2025,"001055","11125947-COSTO OPER CASH-PT-099323326900","D","0002263395","AG. NORTE","0.36","90,953.02"
28/01/2025,"001055","11138824-SINOBALSA SA-PT-772 VERA PABLO","D","0033154503","AG. NORTE","2,073.29","90,953.38"
28/01/2025,"001055","11127953-SINOBALSA SA-PT-INTERQUIMEC 28E","D","0017890397","AG. NORTE","2,517.35","93,026.67"
28/01/2025,"001055","11125947-SINOBALSA SA-PT-768 CASTILLO KA","D","0017883870","AG. NORTE","3,175.74","95,544.02"
28/01/2025,"001055","11126144-SINOBALSA SA-PT-771 MEDINAJOSE","D","0017890231","AG. NORTE","3,273.87","98,719.76"
28/01/2025,"001055","11128079-SINOBALSA SA-PT-COMEX 4X4 CERTI","D","0017883713","AG. NORTE","126.36","101,993.63"
28/01/2025,"001055","11126023-SINOBALSA SA-PT-770 GUAMAN MEDA","D","0017889947","AG. NORTE","2,126.75","102,119.99"
28/01/2025,"001055","11125988-SINOBALSA SA-PT-769 MEDINAJOSE","D","0017883489","AG. NORTE","2,397.06","104,246.74"
28/01/2025,"001055","11126296-SINOBALSA SA-PT-TURNO 1X4 0 289","D","0017883441","AG. NORTE","45.21","106,643.80"
28/01/2025,"001055","11090868-COSTO IVA CASH-PT-099323326900","D","0002512683","AG. NORTE","0.05","106,689.01"
28/01/2025,"001055","11090868-COSTO OPER CASH-PT-099323326900","D","0002512641","AG. NORTE","0.36","106,689.06"
28/01/2025,"001055","11090820-COSTO IVA CASH-PT-099323326900","D","0002512488","AG. NORTE","0.05","106,689.42"
28/01/2025,"001055","11090820-COSTO OPER CASH-PT-099323326900","D","0002512443","AG. NORTE","0.36","106,689.47"
28/01/2025,"001055","11090474-COSTO IVA CASH-PT-099323326900","D","0002510375","AG. NORTE","0.05","106,689.83"
28/01/2025,"001055","11090474-COSTO OPER CASH-PT-099323326900","D","0002510328","AG. NORTE","0.36","106,689.88"
28/01/2025,"001055","11090430-COSTO IVA CASH-PT-099323326900","D","0002512142","AG. NORTE","0.05","106,690.24"
28/01/2025,"001055","11090430-COSTO OPER CASH-PT-099323326900","D","0002512066","AG. NORTE","0.36","106,690.29"
28/01/2025,"001055","11090322-COSTO IVA CASH-PT-099323326900","D","0002511893","AG. NORTE","0.05","106,690.65"
28/01/2025,"001055","11090322-COSTO OPER CASH-PT-099323326900","D","0002509834","AG. NORTE","0.36","106,690.70"
28/01/2025,"001055","11077541-COSTO IVA CASH-PT-099323326900","D","0002509157","AG. NORTE","0.05","106,691.06"
28/01/2025,"001055","11077541-COSTO OPER CASH-PT-099323326900","D","0002509104","AG. NORTE","0.36","106,691.11"
28/01/2025,"001055","11077534-COSTO IVA CASH-PT-099323326900","D","0002508954","AG. NORTE","0.05","106,691.47"
28/01/2025,"001055","11077534-COSTO OPER CASH-PT-099323326900","D","0002508902","AG. NORTE","0.36","106,691.52"
27/01/2025,"001045","S06502712CBC01-JIANGSU SINO NEW-GIRO EXT","C","0117006130","AG. NORTE","93,600.00","106,691.88"
27/01/2025,"001055","11090430-SINOBALSA SA-PT-767 MOYAN FERNA","D","0102132186","AG. NORTE","1,236.29","13,091.88"
27/01/2025,"001055","11090322-SINOBALSA SA-PT-765 KUKUSH SHAU","D","0102132157","AG. NORTE","1,647.45","14,328.17"
27/01/2025,"001055","11090868-SINOBALSA SA-PT-KIM DEV ANT 766","D","0102134996","AG. NORTE","1,000.00","15,975.62"
27/01/2025,"001055","11090820-SINOBALSA SA-PT-766 GARCIA RODO","D","0102134924","AG. NORTE","1,280.15","16,975.62"
27/01/2025,"001055","11090474-SINOBALSA SA-PT-KIM DEV ANT 767","D","0102134779","AG. NORTE","1,000.00","18,255.77"
27/01/2025,"001055","11077534-SINOBALSA SA-PT-INSPECC ANTINAR","D","0006846770","AG. NORTE","177.52","19,255.77"
27/01/2025,"001055","11077541-SINOBALSA SA-PT-765  KUKUSH SHA","D","0006838481","AG. NORTE","3,000.00","19,433.29"
27/01/2025,"001331","DB AH PROGRAMADO","D","0003757662","AGENCIA PARA PROCESOS BATCH","1,500.00","22,433.29"
27/01/2025,"001055","11040199-COSTO IVA CASH-PT-099323326900","D","0002057454","AG. NORTE","0.05","23,933.29"
27/01/2025,"001055","11040199-COSTO OPER CASH-PT-099323326900","D","0002055992","AG. NORTE","0.36","23,933.34"
27/01/2025,"001055","11040142-COSTO IVA CASH-PT-099323326900","D","0002055857","AG. NORTE","0.05","23,933.70"
27/01/2025,"001055","11040142-COSTO OPER CASH-PT-099323326900","D","0002055769","AG. NORTE","0.36","23,933.75"
27/01/2025,"001055","11039945-COSTO IVA CASH-PT-099323326900","D","0002055386","AG. NORTE","0.05","23,934.11"
27/01/2025,"001055","11039945-COSTO OPER CASH-PT-099323326900","D","0002055342","AG. NORTE","0.36","23,934.16"
27/01/2025,"001055","11038130-COSTO IVA CASH-PT-099323326900","D","0002055253","AG. NORTE","0.05","23,934.52"
27/01/2025,"001055","11038130-COSTO OPER CASH-PT-099323326900","D","0002055224","AG. NORTE","0.36","23,934.57"
27/01/2025,"001055","11038079-COSTO IVA CASH-PT-099323326900","D","0002053815","AG. NORTE","0.05","23,934.93"
27/01/2025,"001055","11038079-COSTO OPER CASH-PT-099323326900","D","0002053766","AG. NORTE","0.36","23,934.98"
27/01/2025,"001055","11037848-COSTO IVA CASH-PT-099323326900","D","0002055050","AG. NORTE","0.05","23,935.34"
27/01/2025,"001055","11037848-COSTO OPER CASH-PT-099323326900","D","0002055012","AG. NORTE","0.36","23,935.39"
27/01/2025,"001055","11037240-COSTO IVA CASH-PT-099323326900","D","0002054918","AG. NORTE","0.05","23,935.75"
27/01/2025,"001055","11037240-COSTO OPER CASH-PT-099323326900","D","0002054885","AG. NORTE","0.36","23,935.80"
27/01/2025,"001055","11036966-COSTO IVA CASH-PT-099323326900","D","0002053258","AG. NORTE","0.05","23,936.16"
27/01/2025,"001055","11036966-COSTO OPER CASH-PT-099323326900","D","0002053216","AG. NORTE","0.36","23,936.21"
27/01/2025,"001055","11036920-COSTO IVA CASH-PT-099323326900","D","0002054547","AG. NORTE","0.05","23,936.57"
27/01/2025,"001055","11036920-COSTO OPER CASH-PT-099323326900","D","0002054510","AG. NORTE","0.36","23,936.62"
27/01/2025,"001055","11036848-COSTO IVA CASH-PT-099323326900","D","0002052865","AG. NORTE","0.05","23,936.98"
27/01/2025,"001055","11036848-COSTO OPER CASH-PT-099323326900","D","0002054360","AG. NORTE","0.36","23,937.03"
24/01/2025,"001055","11039945-SINOBALSA SA-PT-PORTEO 3X4 0 28","D","0016268807","AG. NORTE","132.05","23,937.39"
24/01/2025,"001055","11040199-SINOBALSA SA-PT-764 VERA PABLO","D","0016268571","AG. NORTE","2,005.55","24,069.44"
24/01/2025,"001055","11040142-SINOBALSA SA-PT-TURNO 1X4 0 289","D","0016274755","AG. NORTE","45.21","26,074.99"
24/01/2025,"001055","11036966-SINOBALSA SA-PT-760 MOYAN FERNA","D","0013844222","AG. NORTE","1,594.74","26,120.20"
24/01/2025,"001055","11037848-SINOBALSA SA-PT-761 VERA PABLO","D","0013850535","AG. NORTE","2,018.64","27,714.94"
24/01/2025,"001055","11038079-SINOBALSA SA-PT-762 GUANMAN MED","D","0013844244","AG. NORTE","1,538.10","29,733.58"
24/01/2025,"001055","11038130-SINOBALSA SA-PT-763 GARCIA RODO","D","0013844197","AG. NORTE","4,571.89","31,271.68"
24/01/2025,"001055","11037240-SINOBALSA SA-PT-KIM DEV 760 MOY","D","0013850251","AG. NORTE","800.00","35,843.57"
24/01/2025,"001055","11036848-SINOBALSA SA-PT-758 ORTIZ CESAR","D","0013844039","AG. NORTE","1,917.87","36,643.57"
24/01/2025,"001055","11036920-SINOBALSA SA-PT-759 MEDINAJOSE","D","0013843812","AG. NORTE","2,538.39","38,561.44"
24/01/2025,"001055","11002307-COSTO IVA CASH-PT-099323326900","D","0002204726","AG. NORTE","0.05","41,099.83"
24/01/2025,"001055","11002307-COSTO OPER CASH-PT-099323326900","D","0002204696","AG. NORTE","0.36","41,099.88"
24/01/2025,"001055","11002303-COSTO IVA CASH-PT-099323326900","D","0002204571","AG. NORTE","0.05","41,100.24"
24/01/2025,"001055","11002303-COSTO OPER CASH-PT-099323326900","D","0002204553","AG. NORTE","0.36","41,100.29"
24/01/2025,"001055","11002302-COSTO IVA CASH-PT-099323326900","D","0002203117","AG. NORTE","0.05","41,100.65"
24/01/2025,"001055","11002302-COSTO OPER CASH-PT-099323326900","D","0002203096","AG. NORTE","0.36","41,100.70"
24/01/2025,"001055","11001303-COSTO IVA CASH-PT-099323326900","D","0002202997","AG. NORTE","0.05","41,101.06"
24/01/2025,"001055","11001303-COSTO OPER CASH-PT-099323326900","D","0002202969","AG. NORTE","0.36","41,101.11"
24/01/2025,"001055","11001289-COSTO IVA CASH-PT-099323326900","D","0002202859","AG. NORTE","0.05","41,101.47"
24/01/2025,"001055","11001289-COSTO OPER CASH-PT-099323326900","D","0002204159","AG. NORTE","0.36","41,101.52"
24/01/2025,"001055","11001273-COSTO IVA CASH-PT-099323326900","D","0002204060","AG. NORTE","0.05","41,101.88"
24/01/2025,"001055","11001273-COSTO OPER CASH-PT-099323326900","D","0002202687","AG. NORTE","0.36","41,101.93"
24/01/2025,"001055","11001218-COSTO IVA CASH-PT-099323326900","D","0002203905","AG. NORTE","0.05","41,102.29"
24/01/2025,"001055","11001218-COSTO OPER CASH-PT-099323326900","D","0002202562","AG. NORTE","0.36","41,102.34"
24/01/2025,"001055","11001185-COSTO IVA CASH-PT-099323326900","D","0002203807","AG. NORTE","0.05","41,102.70"
24/01/2025,"001055","11001185-COSTO OPER CASH-PT-099323326900","D","0002202458","AG. NORTE","0.36","41,102.75"
24/01/2025,"001055","11001077-COSTO IVA CASH-PT-099323326900","D","0002202275","AG. NORTE","0.05","41,103.11"
24/01/2025,"001055","11001077-COSTO OPER CASH-PT-099323326900","D","0002203547","AG. NORTE","0.36","41,103.16"
24/01/2025,"001055","11001074-COSTO IVA CASH-PT-099323326900","D","0002202121","AG. NORTE","0.05","41,103.52"
24/01/2025,"001055","11001074-COSTO OPER CASH-PT-099323326900","D","0002202094","AG. NORTE","0.36","41,103.57"
23/01/2025,"001365","RETENCION JUDICIAL TRANSITO GUAYAS ATM","D","0057146057","GUAYAQUIL TORRES PICHINCHA","144.90","41,103.93"
23/01/2025,"001055","11002302-SINOBALSA SA-PT-SALDO FACTURA C","D","0002906648","AG. NORTE","22.92","41,248.83"
23/01/2025,"001055","11002303-SINOBALSA SA-PT-SALDO FACTURA C","D","0002895473","AG. NORTE","45.84","41,271.75"
23/01/2025,"001055","11002307-SINOBALSA SA-PT-MARGL F10035813","D","0002896134","AG. NORTE","2,984.09","41,317.59"
23/01/2025,"001055","11001185-SINOBALSA SA-PT-746 LOPEZ DANNY","D","0001631842","AG. NORTE","1,073.03","44,301.68"
23/01/2025,"001055","11001273-SINOBALSA SA-PT-755 GUAMAN MEDA","D","0001632839","AG. NORTE","1,776.34","45,374.71"
23/01/2025,"001055","11001077-SINOBALSA SA-PT-LOG F1394 4X4 0","D","0001623581","AG. NORTE","1,019.70","47,151.05"
23/01/2025,"001055","11001303-SINOBALSA SA-PT-757 MORALES HEN","D","0001622693","AG. NORTE","1,917.34","48,170.75"
23/01/2025,"001055","11001289-SINOBALSA SA-PT-756 LOPEZ DANNY","D","0001623488","AG. NORTE","1,046.54","50,088.09"
23/01/2025,"001055","11001218-SINOBALSA SA-PT-750 KUKUSH SHAU","D","0001623459","AG. NORTE","1,274.68","51,134.63"
23/01/2025,"001055","11001074-SINOBALSA SA-PT-TIBA F22315F223","D","0001623451","AG. NORTE","1,249.84","52,409.31"
22/01/2025,"001045","TRANSFERENCIA INTERBANCARIA RECIBIDA","C","0031378984","CENTRO SERVIC. OPERAT. SS. QTO","4,140.40","53,659.15"
22/01/2025,"001055","10944912-COSTO IVA CASH-PT-099323326900","D","0002390149","AG. NORTE","0.05","49,518.75"
22/01/2025,"001055","10944912-COSTO OPER CASH-PT-099323326900","D","0002390963","AG. NORTE","0.36","49,518.80"
22/01/2025,"001055","10944859-COSTO IVA CASH-PT-099323326900","D","0002388464","AG. NORTE","0.05","49,519.16"
22/01/2025,"001055","10944859-COSTO OPER CASH-PT-099323326900","D","0002388429","AG. NORTE","0.36","49,519.21"
22/01/2025,"001055","10944526-COSTO IVA CASH-PT-099323326900","D","0002389656","AG. NORTE","0.05","49,519.57"
22/01/2025,"001055","10944526-COSTO OPER CASH-PT-099323326900","D","0002389604","AG. NORTE","0.36","49,519.62"
22/01/2025,"001055","10944316-COSTO IVA CASH-PT-099323326900","D","0002389431","AG. NORTE","0.05","49,519.98"
22/01/2025,"001055","10944316-COSTO OPER CASH-PT-099323326900","D","0002387970","AG. NORTE","0.36","49,520.03"
22/01/2025,"001055","10944261-COSTO IVA CASH-PT-099323326900","D","0002387707","AG. NORTE","0.05","49,520.39"
22/01/2025,"001055","10944261-COSTO OPER CASH-PT-099323326900","D","0002389040","AG. NORTE","0.36","49,520.44"
22/01/2025,"001055","10944175-COSTO IVA CASH-PT-099323326900","D","0002387480","AG. NORTE","0.05","49,520.80"
22/01/2025,"001055","10944175-COSTO OPER CASH-PT-099323326900","D","0002387449","AG. NORTE","0.36","49,520.85"
22/01/2025,"001055","10935738-COSTO IVA CASH-PT-099323326900","D","0002387241","AG. NORTE","0.05","49,521.21"
22/01/2025,"001055","10935738-COSTO OPER CASH-PT-099323326900","D","0002388547","AG. NORTE","0.36","49,521.26"
22/01/2025,"001055","10935698-COSTO IVA CASH-PT-099323326900","D","0002386236","AG. NORTE","0.05","49,521.62"
22/01/2025,"001055","10935698-COSTO OPER CASH-PT-099323326900","D","0002386939","AG. NORTE","0.36","49,521.67"
22/01/2025,"001055","10935687-COSTO IVA CASH-PT-099323326900","D","0002386025","AG. NORTE","0.05","49,522.03"
22/01/2025,"001055","10935687-COSTO OPER CASH-PT-099323326900","D","0002385965","AG. NORTE","0.36","49,522.08"
22/01/2025,"001055","10935615-COSTO IVA CASH-PT-099323326900","D","0002386521","AG. NORTE","0.05","49,522.44"
22/01/2025,"001055","10935615-COSTO OPER CASH-PT-099323326900","D","0002385742","AG. NORTE","0.36","49,522.49"
22/01/2025,"001055","10935571-COSTO IVA CASH-PT-099323326900","D","0002384070","AG. NORTE","0.05","49,522.85"
22/01/2025,"001055","10935571-COSTO OPER CASH-PT-099323326900","D","0002385516","AG. NORTE","0.36","49,522.90"
22/01/2025,"001055","10935499-COSTO IVA CASH-PT-099323326900","D","0002383853","AG. NORTE","0.05","49,523.26"
22/01/2025,"001055","10935499-COSTO OPER CASH-PT-099323326900","D","0002383796","AG. NORTE","0.36","49,523.31"
22/01/2025,"001055","10935295-COSTO IVA CASH-PT-099323326900","D","0002385096","AG. NORTE","0.05","49,523.67"
22/01/2025,"001055","10935295-COSTO OPER CASH-PT-099323326900","D","0002383563","AG. NORTE","0.36","49,523.72"
21/01/2025,"001055","COBRO INTERBANCARIO RECIBIDO","D","0027151245","CENTRO SERVIC. OPERAT. SS. QTO","3,428.85","49,524.08"
21/01/2025,"001055","COBRO INTERBANCARIO RECIBIDO IVA","D","0027151245","CENTRO SERVIC. OPERAT. SS. QTO","0.03","52,952.93"
