"Fecha","Codigo","Concepto","Tipo","Documento","Oficina","Monto","Saldo"
30/09/2024,"001055","7752084-SINOBALSA SA-PT-PRESTAMO CONDOR","D","0135791635","AG. NORTE","30,000.00","89,651.61"
30/09/2024,"001055","07750798-COSTO IVA CASH-PT-099323326900","D","0012332208","AG. NORTE","0.05","119,651.61"
30/09/2024,"001055","07750798-COSTO OPER CASH-PT-099323326900","D","0012332066","AG. NORTE","0.36","119,651.66"
30/09/2024,"001055","07736293-COSTO IVA CASH-PT-099323326900","D","0012330542","AG. NORTE","0.05","119,652.02"
30/09/2024,"001055","07736293-COSTO OPER CASH-PT-099323326900","D","0012331226","AG. NORTE","0.36","119,652.07"
27/09/2024,"001055","7750798-SINOBALSA SA-PT-ANT CONT ENE JU","D","0045380927","AG. NORTE","750.00","119,652.43"
27/09/2024,"001055","7736293-SINOBALSA SA-PT-interquimic","D","0044689254","AG. NORTE","2,517.35","120,402.43"
27/09/2024,"001055","7723657-COSTO IVA CASH-GX-2024092700149975","D","0003751426","AG. NORTE","0.80","122,919.78"
27/09/2024,"001055","COMISION GIROS EXTERIOR","D","0003750800","AG. NORTE","5.36","122,920.58"
27/09/2024,"001045","2024092700149975-7723657-GIRO-EXT","C","0003750744","AG. NORTE","113,235.00","122,925.94"
27/09/2024,"001055","07687752-COSTO IVA CASH-PT-099323326900","D","0002406027","AG. NORTE","0.05","9,690.94"
27/09/2024,"001055","07687752-COSTO OPER CASH-PT-099323326900","D","0002405638","AG. NORTE","0.36","9,690.99"
27/09/2024,"001055","07687526-COSTO IVA CASH-PT-099323326900","D","0002405600","AG. NORTE","0.05","9,691.35"
27/09/2024,"001055","07687526-COSTO OPER CASH-PT-099323326900","D","0002405579","AG. NORTE","0.36","9,691.40"
27/09/2024,"001055","07673744-COSTO IVA CASH-PT-099323326900","D","0002405363","AG. NORTE","0.05","9,691.76"
27/09/2024,"001055","07673744-COSTO OPER CASH-PT-099323326900","D","0002404728","AG. NORTE","0.36","9,691.81"
27/09/2024,"001331","DB AH PROGRAMADO","D","0000720826","AGENCIA PARA PROCESOS BATCH","1,500.00","9,692.17"
26/09/2024,"001055","07686670-COSTO IVA CASH-PT-099323326900","D","0001884376","AG. NORTE","0.05","11,192.17"
26/09/2024,"001055","07686670-COSTO OPER CASH-PT-099323326900","D","0001885236","AG. NORTE","0.36","11,192.22"
26/09/2024,"001055","07686419-COSTO IVA CASH-PT-099323326900","D","0001885107","AG. NORTE","0.05","11,192.58"
26/09/2024,"001055","07686419-COSTO OPER CASH-PT-099323326900","D","0001885069","AG. NORTE","0.36","11,192.63"
26/09/2024,"001055","07686215-COSTO IVA CASH-PT-099323326900","D","0001883970","AG. NORTE","0.05","11,192.99"
26/09/2024,"001055","07686215-COSTO OPER CASH-PT-099323326900","D","0001884041","AG. NORTE","0.36","11,193.04"
26/09/2024,"001055","07671070-COSTO IVA CASH-PT-099323326900","D","0001883712","AG. NORTE","0.05","11,193.40"
26/09/2024,"001055","07671070-COSTO OPER CASH-PT-099323326900","D","0001883670","AG. NORTE","0.36","11,193.45"
26/09/2024,"001055","07670779-COSTO IVA CASH-PT-099323326900","D","0001882761","AG. NORTE","0.05","11,193.81"
26/09/2024,"001055","07670779-COSTO OPER CASH-PT-099323326900","D","0001882731","AG. NORTE","0.36","11,193.86"
26/09/2024,"001055","07669617-COSTO IVA CASH-PT-099323326900","D","0001883427","AG. NORTE","0.05","11,194.22"
26/09/2024,"001055","07669617-COSTO OPER CASH-PT-099323326900","D","0001883370","AG. NORTE","0.36","11,194.27"
26/09/2024,"001055","07669440-COSTO IVA CASH-PT-099323326900","D","0001882431","AG. NORTE","0.05","11,194.63"
26/09/2024,"001055","07669440-COSTO OPER CASH-PT-099323326900","D","0001882397","AG. NORTE","0.36","11,194.68"
26/09/2024,"001055","07668063-COSTO IVA CASH-PT-099323326900","D","0001882310","AG. NORTE","0.05","11,195.04"
26/09/2024,"001055","07668063-COSTO OPER CASH-PT-099323326900","D","0001883128","AG. NORTE","0.36","11,195.09"
26/09/2024,"001055","07645125-COSTO IVA CASH-PT-099323326900","D","0001882170","AG. NORTE","0.05","11,195.45"
26/09/2024,"001055","07645125-COSTO OPER CASH-PT-099323326900","D","0001881996","AG. NORTE","0.36","11,195.50"
26/09/2024,"001055","07643769-COSTO IVA CASH-PT-099323326900","D","0001881905","AG. NORTE","0.05","11,195.86"
26/09/2024,"001055","07643769-COSTO OPER CASH-PT-099323326900","D","0001881870","AG. NORTE","0.36","11,195.91"
25/09/2024,"001055","7686215-SINOBALSA SA-PT-419 DORADO ADRI","D","0068942922","AG. NORTE","1,939.76","11,196.27"
25/09/2024,"001055","7645125-SINOBALSA SA-PT-478 estrada kat","D","0068942099","AG. NORTE","1,517.77","13,136.03"
