"Fecha","Codigo","Concepto","Tipo","Documento","Oficina","Monto","Saldo"
31/10/2024,"001045","S0643050E0D701-8702069-GIRO-EXT","C","0018692108","AG. NORTE","112,800.00","148,749.68"
29/10/2024,"001055","08549039-COSTO IVA CASH-PT-099323326900","D","0003250680","AG. NORTE","0.05","35,949.68"
29/10/2024,"001055","08549039-COSTO OPER CASH-PT-099323326900","D","0003248847","AG. NORTE","0.36","35,949.73"
29/10/2024,"001055","08549014-COSTO IVA CASH-PT-099323326900","D","0003250377","AG. NORTE","0.05","35,950.09"
29/10/2024,"001055","08549014-COSTO OPER CASH-PT-099323326900","D","0003248554","AG. NORTE","0.36","35,950.14"
29/10/2024,"001055","08549004-COSTO IVA CASH-PT-099323326900","D","0003248368","AG. NORTE","0.05","35,950.50"
29/10/2024,"001055","08549004-COSTO OPER CASH-PT-099323326900","D","0003248332","AG. NORTE","0.36","35,950.55"
29/10/2024,"001055","08548990-COSTO IVA CASH-PT-099323326900","D","0003248153","AG. NORTE","0.05","35,950.91"
29/10/2024,"001055","08548990-COSTO OPER CASH-PT-099323326900","D","0003248105","AG. NORTE","0.36","35,950.96"
29/10/2024,"001055","08548928-COSTO IVA CASH-PT-099323326900","D","0003247366","AG. NORTE","0.05","35,951.32"
29/10/2024,"001055","08548928-COSTO OPER CASH-PT-099323326900","D","0003247905","AG. NORTE","0.36","35,951.37"
29/10/2024,"001055","08548913-COSTO IVA CASH-PT-099323326900","D","0003247735","AG. NORTE","0.05","35,951.73"
29/10/2024,"001055","08548913-COSTO OPER CASH-PT-099323326900","D","0003247700","AG. NORTE","0.36","35,951.78"
29/10/2024,"001055","08548869-COSTO IVA CASH-PT-099323326900","D","0003245207","AG. NORTE","0.05","35,952.14"
29/10/2024,"001055","08548869-COSTO OPER CASH-PT-099323326900","D","0003246881","AG. NORTE","0.36","35,952.19"
29/10/2024,"001055","08548859-COSTO IVA CASH-PT-099323326900","D","0003244975","AG. NORTE","0.05","35,952.55"
29/10/2024,"001055","08548859-COSTO OPER CASH-PT-099323326900","D","0003244929","AG. NORTE","0.36","35,952.60"
29/10/2024,"001055","08548844-COSTO IVA CASH-PT-099323326900","D","0003244711","AG. NORTE","0.05","35,952.96"
29/10/2024,"001055","08548844-COSTO OPER CASH-PT-099323326900","D","0003246346","AG. NORTE","0.36","35,953.01"
29/10/2024,"001055","08548837-COSTO IVA CASH-PT-099323326900","D","0003246155","AG. NORTE","0.05","35,953.37"
29/10/2024,"001055","08548837-COSTO OPER CASH-PT-099323326900","D","0003246101","AG. NORTE","0.36","35,953.42"
29/10/2024,"001055","08548801-COSTO IVA CASH-PT-099323326900","D","0003245887","AG. NORTE","0.11","35,953.78"
29/10/2024,"001055","08548801-COSTO OPER CASH-PT-099323326900","D","0003245752","AG. NORTE","0.76","35,953.89"
29/10/2024,"001055","08548787-COSTO IVA CASH-PT-099323326900","D","0003245514","AG. NORTE","0.11","35,954.65"
29/10/2024,"001055","08548787-COSTO OPER CASH-PT-099323326900","D","0003243821","AG. NORTE","0.76","35,954.76"
29/10/2024,"001055","08548765-COSTO IVA CASH-PT-099323326900","D","0003243635","AG. NORTE","0.05","35,955.52"
29/10/2024,"001055","08548765-COSTO OPER CASH-PT-099323326900","D","0003245233","AG. NORTE","0.36","35,955.57"
29/10/2024,"001055","08548747-COSTO IVA CASH-PT-099323326900","D","0003242881","AG. NORTE","0.05","35,955.93"
29/10/2024,"001055","08548747-COSTO OPER CASH-PT-099323326900","D","0003242835","AG. NORTE","0.36","35,955.98"
29/10/2024,"001055","08515359-COSTO IVA CASH-PT-099323326900","D","0003243225","AG. NORTE","0.05","35,956.34"
29/10/2024,"001055","08515359-COSTO OPER CASH-PT-099323326900","D","0003243183","AG. NORTE","0.36","35,956.39"
29/10/2024,"001055","08515337-COSTO IVA CASH-PT-099323326900","D","0003242438","AG. NORTE","0.05","35,956.75"
29/10/2024,"001055","08515337-COSTO OPER CASH-PT-099323326900","D","0003240730","AG. NORTE","0.36","35,956.80"
29/10/2024,"001055","08336183-COSTO IVA CASH-PT-099323326900","D","0003242194","AG. NORTE","0.05","35,957.16"
29/10/2024,"001055","08336183-COSTO OPER CASH-PT-099323326900","D","0003242151","AG. NORTE","0.36","35,957.21"
29/10/2024,"001055","08335871-COSTO IVA CASH-PT-099323326900","D","0003241869","AG. NORTE","0.05","35,957.57"
29/10/2024,"001055","08335871-COSTO OPER CASH-PT-099323326900","D","0003240180","AG. NORTE","0.36","35,957.62"
29/10/2024,"001055","08195575-COSTO IVA CASH-PT-099323326900","D","0003241629","AG. NORTE","0.05","35,957.98"
29/10/2024,"001055","08195575-COSTO OPER CASH-PT-099323326900","D","0003239972","AG. NORTE","0.36","35,958.03"
28/10/2024,"001330","08548801-SINOBALSA SA        -538 CASTRO CESA","D","0103633562","LA PIAZZA","175.00","35,958.39"
28/10/2024,"001330","08548787-SINOBALSA SA        -538 CASTRO CESA","D","0103526001","LA PIAZZA","1,900.00","36,133.39"
28/10/2024,"001045","8548747-SINOBALSA SA-PT-546 MEDINA JOSE","C","0084920732","AG. NORTE","2,633.99","38,033.39"
28/10/2024,"001055","8548837-SINOBALSA SA-PT-nuevo pedido 25","D","0081199654","AG. NORTE","2,517.35","35,399.40"
28/10/2024,"001055","8548913-SINOBALSA SA-PT-525 chichande a","D","0081199401","AG. NORTE","2,337.70","37,916.75"
28/10/2024,"001055","8549039-SINOBALSA SA-PT-552 VERA PABLO","D","0081200115","AG. NORTE","1,845.69","40,254.45"
28/10/2024,"001055","8548859-SINOBALSA SA-PT-TURNO TERCON 2X","D","0081199164","AG. NORTE","90.42","42,100.14"
28/10/2024,"001055","8548765-SINOBALSA SA-PT-540 CUJILAN JOS","D","0081200016","AG. NORTE","1,964.29","42,190.56"
28/10/2024,"001055","8548928-SINOBALSA SA-PT-542 moyan ferna","D","0081199905","AG. NORTE","1,682.75","44,154.85"
28/10/2024,"001055","8548844-SINOBALSA SA-PT-PORTEO 2X40 679","D","0081198465","AG. NORTE","262.81","45,837.60"
28/10/2024,"001055","8548869-SINOBALSA SA-PT-TRANSPORTE INTE","D","0081198375","AG. NORTE","653.40","46,100.41"
28/10/2024,"001055","8549004-SINOBALSA SA-PT-529 CUJILAN JOS","D","0081198570","AG. NORTE","2,129.91","46,753.81"
28/10/2024,"001055","8549014-SINOBALSA SA-PT-L012 ZAMBRANO G","D","0081197936","AG. NORTE","855.95","48,883.72"
28/10/2024,"001055","8548990-SINOBALSA SA-PT-539 cujilan jos","D","0081197066","AG. NORTE","2,307.65","49,739.67"
28/10/2024,"001055","8515337-SINOBALSA SA-PT-543 GUAMAN MEDA","D","0081197935","AG. NORTE","1,867.05","52,047.32"
28/10/2024,"001055","8548747-SINOBALSA SA-PT-546 MEDINA JOSE","D","0081197838","AG. NORTE","2,633.99","53,914.37"
